Name,Sector,Industry,P/E ratio,PEG ratio,EPS,DivYield,PtB,PtS,EBITDA,Shares,Market Cap,52wk range
PUK,Finance,Life Insurance,14.91,1.42,2.044,2.64,2.6,0.62,3.90B,1.27B,38.86B,20.16 - 30.87,"
</"
PUK-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.05 - 26.37,"
</"
PUK.P,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.96 - 26.73,"
</"
PULS,Capital Goods,Industrial Machinery/Components,N/A,N/A,N/A,N/A,N/A,0.03,5.00M,41.81M,12.54M,0.21 - 3.26,"
</"
PVA,Energy,Oil & Gas Production,N/A,N/A,N/A,2.61,0.25,0.62,200.90M,45.69M,199.20M,3.92 - 7.74,"
</"
PVD,Finance,Property-Casualty Insurers,11.8,N/A,9.315,7.64,3.9,6.61,240.10M,22.09M,2.31B,70.01 - 112.79,"
</"
PVG,Energy,Coal Mining,N/A,N/A,N/A,N/A,1.67,N/A,N/A,94.83M,1.06B,10.80 - 18.43,"
</"
PVH,Consumer Non-Durables,Apparel,20.47,1.69,5.807,0.1,2.84,1.41,778.80M,70.64M,8.21B,72.47 - 121.26,"
</"
PVR,Energy,Coal Mining,N/A,10.4,N/A,5.95,2.03,2.36,227.80M,88.15M,2.34B,21.34 - 27.49,"
</"
PVTD,,,28.97,N/A,0.88,1.98,1.58,4.16,N/A,75.05M,1.92B,0.00 - 0.00,"
</"
PWE,Energy,Oil & Gas Production,28.59,2.21,0.354,10.69,0.52,1.7,1.45B,479.26M,4.90B,10.10 - 22.37,"
</"
PWR,Capital Goods,Engineering & Construction,22.42,1.23,1.292,N/A,1.69,1.01,590.80M,213.15M,6.11B,20.21 - 29.94,"
</"
PX,Basic Industries,Major Chemicals,19.67,1.59,5.61,1.99,5.4,2.92,3.50B,296.89M,33.13B,100.00 - 116.93,"
</"
PXD,Energy,Oil & Gas Production,283.23,1.65,0.415,0.07,2.58,5.25,1.79B,123.23M,14.78B,77.41 - 123.86,"
</"
PXP,Energy,Oil & Gas Production,34.35,0.86,1.39,N/A,1.87,2.78,1.47B,128.99M,6.21B,30.12 - 48.04,"
</"
PYA,Finance,Finance: Consumer Services,N/A,N/A,N/A,6.96,N/A,N/A,N/A,N/A,N/A,23.02 - 25.98,"
</"
PYB,Finance,Finance: Consumer Services,N/A,N/A,N/A,5.71,N/A,N/A,N/A,N/A,N/A,22.96 - 25.81,"
</"
PYC,Finance,Finance: Consumer Services,N/A,N/A,N/A,5.96,N/A,N/A,N/A,N/A,N/A,22.01 - 25.20,"
</"
PYG,Finance,Finance: Consumer Services,N/A,N/A,N/A,6.96,N/A,N/A,N/A,N/A,N/A,17.76 - 25.65,"
</"
PYK,Finance,Finance: Consumer Services,N/A,N/A,N/A,6.19,N/A,N/A,N/A,N/A,N/A,23.80 - 25.59,"
</"
PYL,Finance,Finance: Consumer Services,N/A,N/A,N/A,6.77,N/A,N/A,N/A,N/A,N/A,21.20 - 25.50,"
</"
PYN,Finance,Closed-End Fund - Foreign,N/A,N/A,N/A,6,N/A,N/A,N/A,N/A,N/A,9.24 - 11.02,"
</"
PYS,Finance,Finance: Consumer Services,N/A,N/A,N/A,6.68,N/A,N/A,N/A,N/A,N/A,19.50 - 24.39,"
</"
PYT,Finance,Finance: Consumer Services,N/A,N/A,N/A,3.93,N/A,N/A,N/A,N/A,N/A,15.91 - 19.74,"
</"
PYV,Finance,Finance: Consumer Services,N/A,N/A,N/A,3.21,N/A,N/A,N/A,N/A,N/A,24.99 - 26.30,"
</"
PYY,Finance,Finance: Consumer Services,N/A,N/A,N/A,5.98,N/A,N/A,N/A,N/A,N/A,22.14 - 25.35,"
</"
PZB,Finance,Finance: Consumer Services,N/A,N/A,N/A,6.69,N/A,N/A,N/A,N/A,N/A,23.17 - 25.69,"
</"
PZC,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,6.29,N/A,N/A,N/A,N/A,N/A,9.75 - 11.92,"
</"
PZE,Energy,Oil & Gas Production,9.44,0.34,0.57,4,0.5,0.33,670.10M,201.69M,1.08B,3.69 - 16.29,"
</"
PZN,Finance,Investment Managers,21.36,1.52,0.273,4.8,4.53,0.86,32.10M,11.25M,66.70M,3.68 - 7.39,"
</"
QEP,Energy,Oil & Gas Production,34.53,1.92,0.85,0.27,1.57,2.09,1.46B,178.11M,5.31B,24.35 - 35.61,"
</"
QIHU,Technology,EDP Services,4.52,0.92,6.765,N/A,8.06,12.44,62.60M,117.34M,3.58B,13.80 - 34.37,"
</"
QRE,Energy,Oil & Gas Production,N/A,N/A,N/A,7.88,4.19,3.19,141.70M,44.59M,824.90M,15.25 - 23.88,"
</"
QTM,Technology,Electronic Components,N/A,N/A,N/A,N/A,N/A,0.54,326.00K,240.75M,320.20M,1.00 - 2.90,"
</"
QUAD,Miscellaneous,Publishing,17.21,14.69,1.261,4.61,0.76,0.25,578.20M,47.20M,1.03B,11.83 - 22.31,"
</"
R,Consumer Services,Rental/Leasing Companies,14.29,1.25,3.974,2.11,1.96,0.47,1.38B,51.11M,2.96B,32.76 - 57.36,"
</"
RAD,Health Care,Medical/Nursing Services,N/A,N/A,N/A,N/A,N/A,0.05,794.20M,891.18M,1.52B,0.95 - 2.12,"
</"
RAH,Consumer Non-Durables,Packaged Foods,68.63,2.01,1.311,15.08,3.01,1.15,565.10M,55.05M,4.95B,59.28 - 90.01,"
</"
RAI,Consumer Non-Durables,Farming/Seeds/Milling,17.61,2.2,2.497,5.3,4.29,2.96,2.93B,558.94M,24.86B,39.18 - 46.93,"
</"
RAS,Consumer Services,Real Estate Investment Trusts,N/A,0.49,N/A,5.08,0.41,2.33,N/A,49.91M,348.90M,3.90 - 7.13,"
</"
RAS-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.10 - 24.48,"
</"
RAS-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.99 - 24.85,"
</"
RAS-C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22.20 - 25.47,"
</"
RATE,,,28.7,0.93,0.431,N/A,1.5,2.59,134.30M,100.08M,1.26B,10.01 - 25.95,"
</"
RAX,Technology,"Computer Software: Programming, Data Processing",104.65,3.34,0.72,N/A,13.19,8.32,372.50M,136.94M,10.45B,40.57 - 81.36,"
</"
RBA,Miscellaneous,Business Services,27.73,1.69,0.79,1.59,3.61,5.37,166.60M,106.50M,2.33B,17.81 - 26.00,"
</"
RBC,Consumer Durables,Metal Fabrications,15.65,1.26,4.74,1.01,1.78,0.97,474.90M,41.73M,3.13B,56.20 - 75.60,"
</"
RBN,Capital Goods,Fluid Controls,17.21,1.55,3.387,0.34,2.22,2.33,252.60M,42.20M,2.44B,37.90 - 60.19,"
</"
RBS,Finance,Commercial Banks,N/A,N/A,N/A,N/A,0.3,1.63,N/A,3.24B,34.99B,6.01 - 11.84,"
</"
RBS-E,Finance,Commercial Banks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.67 - 22.44,"
</"
RBS-F,Finance,Commercial Banks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20.21 - 26.10,"
</"
RBS-G,Finance,Finance: Consumer Services,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.65 - 22.55,"
</"
RBS-H,Finance,Commercial Banks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.20 - 25.45,"
</"
RBS-I,Finance,Commercial Banks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12.70 - 22.88,"
</"
RBS-L,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.93 - 24.25,"
</"
RBS-M,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.72 - 23.95,"
</"
RBS-N,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.11 - 23.69,"
</"
RBS-P,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.72 - 23.94,"
</"
RBS-Q,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.57 - 24.47,"
</"
RBS-R,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14.61 - 23.75,"
</"
RBS-S,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.14 - 24.20,"
</"
RBS-T,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16.64 - 25.00,"
</"
RC,Consumer Services,Broadcasting,13.6,N/A,0.899,N/A,1.92,2.68,14.60M,18.08M,208.50M,7.58 - 12.59,"
</"
RCI,Consumer Services,Television Services,16.02,4.07,2.902,3.41,6.49,1.89,4.77B,515.26M,23.94B,33.58 - 47.04,"
</"
RCL,Consumer Services,Marine Transportation,17.75,2.83,2.04,1.22,0.91,1.03,1.51B,218.10M,8.02B,22.12 - 38.56,"
</"
RCS,Finance,Closed-End Fund - Foreign,N/A,N/A,N/A,10.52,N/A,N/A,N/A,N/A,N/A,10.00 - 12.82,"
</"
RDC,Energy,Oil & Gas Production,25.06,0.47,1.376,N/A,0.96,3.26,476.40M,124.18M,4.36B,28.62 - 39.40,"
</"
RDN,Finance,Property-Casualty Insurers,N/A,N/A,N/A,0.19,0.94,0.89,N/A,133.65M,904.80M,2.00 - 6.88,"
</"
RDS.A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,60.62 - 74.09,"
</"
RDS.B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,63.05 - 76.13,"
</"
RDY,Consumer Durables,Major Pharmaceuticals,20.48,0.99,1.755,0.64,5.12,2.98,522.50M,169.84M,6.21B,27.28 - 36.49,"
</"
RE,Finance,Property-Casualty Insurers,7.56,0.71,15.312,1.66,0.88,1.21,N/A,51.71M,6.07B,84.75 - 116.42,"
</"
RE-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.60 - 25.91,"
</"
REG,Consumer Services,Real Estate Investment Trusts,117.25,6.09,0.425,3.72,3.04,8.47,336.50M,90.06M,4.54B,41.65 - 51.38,"
</"
REG-F,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.85 - 27.77,"
</"
REG-G,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
REN,Energy,Oil & Gas Production,154.73,N/A,0.055,N/A,0.95,2.02,93.40M,59.44M,508.80M,7.75 - 12.12,"
</"
REN.W,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.40 - 1.85,"
</"
RENN,Technology,EDP Services,N/A,2.24,N/A,N/A,1.15,7.87,N/A,376.19M,1.26B,3.00 - 7.87,"
</"
RES,Energy,Oilfield Services/Equipment,11.79,1.6,1.27,2.14,3.58,1.66,661.30M,215.33M,3.27B,8.75 - 15.05,"
</"
RESI,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
REV,Consumer Non-Durables,Package Goods/Cosmetics,20.09,2.2,0.784,N/A,N/A,0.59,230.80M,52.36M,824.10M,12.60 - 17.99,"
</"
REX,Basic Industries,Major Chemicals,10.78,N/A,2.026,N/A,0.71,0.27,39.80M,8.16M,178.00M,14.43 - 33.95,"
</"
RF,Finance,Major Banks,10.85,1.47,0.717,0.51,0.73,2.13,N/A,1.41B,11.13B,5.46 - 7.88,"
</"
RF-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
RFI,Finance,Diversified Investments,N/A,N/A,N/A,9.63,N/A,N/A,N/A,N/A,N/A,11.90 - 15.77,"
</"
RFP,,,47.69,4.4,0.286,N/A,0.38,0.29,397.00M,96.19M,1.31B,0.00 - 0.00,"
</"
RGA,Finance,Accident &Health Insurance,7.07,1.04,8.121,1.46,0.63,0.45,1.68B,73.85M,4.33B,48.36 - 60.69,"
</"
RGC,Consumer Services,Movies/Entertainment,20.74,1.1,0.72,5.63,N/A,0.85,482.30M,154.25M,2.31B,12.49 - 16.30,"
</"
RGP,,,80,4.84,0.309,5.58,1.28,3.13,238.80M,170.81M,4.21B,20.58 - 27.40,"
</"
RGR,Capital Goods,Ordnance And Accessories,16.27,N/A,3.121,2.55,5.59,2.19,110.10M,19.16M,985.00M,34.22 - 60.11,"
</"
RGS,Consumer Services,Other Consumer Services,N/A,3.23,N/A,1.35,1.12,0.45,198.80M,56.58M,1.02B,15.79 - 19.59,"
</"
RH,,,N/A,1.76,N/A,N/A,N/A,1.24,72.70M,37.92M,1.37B,0.00 - 0.00,"
</"
RHI,Technology,Professional Services,23.49,1.2,1.5,1.7,5.81,1.17,391.70M,136.94M,4.86B,25.10 - 35.75,"
</"
RHP,,,N/A,N/A,N/A,17.11,2.01,1.83,218.00M,45.26M,1.88B,0.00 - 0.00,"
</"
RHT,Technology,"Computer Software: Programming, Data Processing",75.08,2.9,0.74,N/A,7.26,8.4,263.80M,193.20M,10.99B,46.34 - 62.75,"
</"
RIG,Energy,Oil & Gas Production,N/A,0.67,N/A,1.39,1.33,2.02,2.99B,359.42M,20.84B,39.32 - 59.03,"
</"
RIO,Basic Industries,Precious Metals,25.83,1.24,2.186,2.9,1.87,1.84,22.22B,1.85B,107.10B,41.59 - 63.13,"
</"
RIOM,,,N/A,N/A,N/A,N/A,4.69,N/A,N/A,174.95M,937.72M,0.00 - 0.00,"
</"
RIT,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,6.04,N/A,N/A,N/A,N/A,N/A,9.67 - 12.08,"
</"
RJD,,,11.92,N/A,2.28,4.9,1.09,0.87,N/A,131.58M,3.58B,0.00 - 0.00,"
</"
RJF,Finance,Investment Bankers/Brokers/Service,19.57,1,2.28,1.19,1.8,1.43,N/A,131.59M,5.96B,30.99 - 45.25,"
</"
RKT,Consumer Durables,Containers/Packaging,22.12,0.88,3.569,1.08,1.65,0.62,1.15B,72.69M,5.86B,49.24 - 80.85,"
</"
RKUS,,,25.83,1.81,0.912,N/A,N/A,8.97,23.20M,73.69M,1.67B,0.00 - 0.00,"
</"
RL,Consumer Non-Durables,Apparel,23.49,1.57,7.086,0.84,4.08,2.21,1.29B,91.48M,14.78B,134.29 - 182.48,"
</"
RLD,Technology,Radio And Television Broadcasting And Communications Equipment,87.54,N/A,0.13,N/A,3.15,2.64,47.40M,51.47M,597.00M,8.57 - 15.42,"
</"
RLGY,,,N/A,N/A,N/A,N/A,N/A,1.43,487.00M,140.05M,6.44B,0.00 - 0.00,"
</"
RLH,Consumer Services,Hotels/Resorts,N/A,N/A,N/A,N/A,0.93,0.95,16.30M,19.43M,150.60M,5.52 - 9.30,"
</"
RLH-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25.11 - 26.98,"
</"
RLI,Finance,Property-Casualty Insurers,14.41,1.62,4.789,9.07,1.84,2.22,140.90M,21.26M,1.48B,61.86 - 73.29,"
</"
RLJ,,,86.4,N/A,0.242,3.35,1.23,2.69,247.40M,105.48M,2.22B,16.58 - 21.48,"
</"
RM,,,8.24,N/A,2.04,N/A,1.7,2.2,N/A,12.48M,208.10M,0.00 - 0.00,"
</"
RMD,Health Care,Medical/Dental Instruments,22.08,1.2,1.984,0.78,3.58,4.36,419.60M,143.22M,6.37B,28.73 - 48.47,"
</"
RMT,Finance,Closed-End Fund - Equity,N/A,N/A,N/A,5.01,1,59.76,N/A,28.73M,294.20M,8.25 - 10.23,"
</"
RNDY,,,6.03,0.48,0.965,9.97,0.89,0.07,198.00M,45.65M,270.70M,3.69 - 12.50,"
</"
RNE,Finance,Closed-End Fund - Foreign,N/A,N/A,N/A,0.25,1.09,51.24,N/A,4.11M,74.30M,13.20 - 18.10,"
</"
RNF,,,18.23,1.34,2.649,6.38,17.6,7.75,130.70M,38.80M,1.86B,21.08 - 48.80,"
</"
RNO,Energy,Coal Mining,10.22,N/A,1.531,11.6,1.49,1.19,84.80M,27.74M,410.00M,12.11 - 20.96,"
</"
RNP,Finance,Closed-End Fund - Debt,10.28,N/A,1.752,6.66,1.03,14.81,N/A,48.08M,866.80M,15.15 - 18.33,"
</"
RNR,Finance,Property-Casualty Insurers,7.23,1.15,11.848,1.26,1.26,3.25,901.10M,48.16M,4.13B,70.00 - 85.78,"
</"
RNR-C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.81 - 25.87,"
</"
RNR-D,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24.42 - 25.80,"
</"
ROC,Basic Industries,Major Chemicals,10.29,1.92,5.32,1.92,2.54,1.22,816.50M,77.66M,4.24B,40.52 - 57.00,"
</"
ROG,Basic Industries,Major Chemicals,12.2,1.46,3.841,N/A,1.86,1.54,68.30M,16.59M,783.40M,34.61 - 51.96,"
</"
ROK,Capital Goods,Industrial Machinery/Components,17.47,1.51,5.105,2.01,6.34,1.98,1.14B,139.31M,12.66B,61.20 - 90.75,"
</"
ROL,Finance,Diversified Commercial Services,32.53,2.96,0.76,1.78,10.17,2.84,216.10M,146.04M,3.63B,19.30 - 25.07,"
</"
ROP,Capital Goods,Industrial Machinery/Components,24.17,1.42,4.86,0.49,3.13,3.86,912.30M,98.42M,11.74B,91.31 - 120.67,"
</"
ROYT,,,21.36,N/A,0.854,6.63,2.54,N/A,N/A,38.58M,700.70M,0.00 - 0.00,"
</"
RPAI,,,N/A,N/A,N/A,3.85,1.31,4.97,398.10M,230.63M,3.04B,0.00 - 0.00,"
</"
RPM,Basic Industries,Paints/Coatings,24.97,1.82,1.25,2.82,3.32,1.05,463.90M,132.37M,4.20B,23.53 - 31.99,"
</"
RPT,Consumer Services,Real Estate Investment Trusts,N/A,1.34,N/A,4.35,1.69,5.71,70.10M,47.70M,733.70M,10.98 - 15.22,"
</"
RPT-D,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,46.71 - 57.75,"
</"
RQI,Finance,Closed-End Fund - Debt,9.83,N/A,1.092,6.71,0.99,21.81,N/A,109.99M,1.19B,9.01 - 11.22,"
</"
RRC,Energy,Oil & Gas Production,N/A,4.17,N/A,0.24,4.68,8.32,677.10M,159.13M,10.78B,53.09 - 73.94,"
</"
RRMS,,,216.22,1.2,0.152,4.72,1.81,0.92,40.00M,16.78M,554.40M,21.05 - 34.58,"
</"
RRTS,Transportation,Oil Refining/Marketing,18.43,0.25,1.091,N/A,1.91,0.61,74.30M,30.95M,613.80M,15.00 - 20.52,"
</"
RS,Basic Industries,Metal Fabrications,12.49,1.94,5.183,1.24,1.41,0.57,779.40M,75.55M,4.96B,44.81 - 65.70,"
</"
RSE,,,N/A,N/A,N/A,1.15,1.65,3.89,130.30M,49.58M,911.80M,11.79 - 18.78,"
</"
RSG,Public Utilities,Environmental Services,18.62,2.13,1.713,2.85,1.5,1.43,2.36B,364.71M,11.60B,25.15 - 32.40,"
</"
RSH,Consumer Services,Consumer Electronics/Video Chains,N/A,0.03,N/A,7.6,0.49,0.08,63.50M,99.56M,316.60M,1.90 - 7.96,"
</"
RSO,Consumer Services,Real Estate Investment Trusts,10.56,N/A,0.589,12.86,1.04,6.64,N/A,97.85M,614.50M,5.06 - 6.32,"
</"
RSO-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
RSO-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
RST,Technology,Computer Software: Prepackaged Software,N/A,N/A,N/A,N/A,2.04,1,N/A,21.15M,274.90M,8.34 - 14.69,"
</"
RT,Consumer Services,Restaurants,N/A,3.59,N/A,N/A,0.86,0.35,98.30M,61.69M,462.70M,4.98 - 9.39,"
</"
RTI,Capital Goods,Metal Fabrications,52.59,2.84,0.54,N/A,1.15,1.26,81.30M,30.33M,884.30M,20.29 - 29.40,"
</"
RTN,Capital Goods,Industrial Machinery/Components,9.33,1.73,5.647,3.8,2.16,0.71,3.44B,329.81M,17.37B,48.41 - 59.34,"
</"
RUK,Consumer Services,Publishing,16.79,2.61,2.592,3.2,6.87,N/A,N/A,301.02M,13.52B,28.66 - 44.00,"
</"
RVT,Finance,Closed-End Fund - Equity,N/A,N/A,N/A,5.52,1.01,54.87,N/A,69.20M,1.01B,11.87 - 14.55,"
</"
RWT,Consumer Services,Real Estate Investment Trusts,18.05,3.9,1.058,5.24,1.48,11.77,N/A,81.53M,1.55B,11.06 - 19.66,"
</"
RXN,,,53.85,1.61,0.371,N/A,4.71,0.94,382.50M,96.60M,1.93B,0.00 - 0.00,"
</"
RY,Finance,Commercial Banks,12.41,1.31,5.023,3.76,2.24,3.12,N/A,1.44B,90.61B,46.80 - 62.62,"
</"
RYL,Capital Goods,Homebuilding,47.29,3.95,0.84,0.3,3.56,1.37,81.00M,45.11M,1.74B,16.74 - 43.00,"
</"
RYN,Consumer Services,Real Estate Investment Trusts,24.81,4.95,2.17,3.12,4.62,4.22,560.20M,123.19M,6.65B,41.33 - 56.78,"
</"
RZA,,,3.32,N/A,8.121,1.82,0.3,0.21,1.68B,73.84M,2.00B,0.00 - 0.00,"
</"
S,Public Utilities,Telecommunications Equipment,N/A,N/A,N/A,N/A,1.99,0.48,4.79B,3.00B,17.10B,2.20 - 6.04,"
</"
SA,,,N/A,N/A,N/A,N/A,2.89,N/A,N/A,43.45M,652.20M,0.00 - 0.00,"
</"
SAH,Consumer Durables,Automotive Aftermarket,17.91,0.74,1.355,0.41,2.45,0.16,274.00M,56.34M,1.38B,11.88 - 24.73,"
</"
SAI,Technology,EDP Services,22.45,0.89,0.539,3.97,1.69,0.38,634.00M,341.87M,4.16B,10.31 - 14.20,"
</"
SAM,Consumer Non-Durables,Beverages (Production/Distribution),31.35,1.65,4.476,N/A,7.81,3.16,115.30M,12.82M,1.81B,94.24 - 146.27,"
</"
SAN,Finance,Commercial Banks,31.95,2.17,0.256,12.49,0.8,2.18,N/A,9.49B,78.52B,4.88 - 85.39,"
</"
SAN-A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
SAN-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
SAN-C,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
SAN-E,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
SAN-F,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
SAN-I,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
SAP,Technology,Computer Software: Prepackaged Software,26.73,1.47,3.068,1.8,5.33,4.66,6.39B,1.19B,99.62B,54.78 - 82.90,"
</"
SAR,,,5.84,N/A,3.049,23.88,0.82,5.52,N/A,4.73M,87.50M,14.75 - 20.37,"
</"
SB,Transportation,Marine Transportation,3.4,0.66,1.181,12.44,0.78,1.7,129.10M,76.67M,310.50M,3.12 - 7.73,"
</"
SBH,Consumer Services,Other Specialty Stores,21.4,1.08,1.24,N/A,N/A,1.35,564.10M,179.39M,4.90B,20.77 - 28.35,"
</"
SBR,Energy,Oil & Gas Production,12.68,N/A,3.694,7.66,180.19,12.16,N/A,14.58M,677.20M,38.86 - 66.50,"
</"
SBS,Public Utilities,Water Supply,6.3,2.18,7.068,3.32,0.91,0.98,1.77B,113.92M,5.16B,43.67 - 92.00,"
</"
SBW,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,6.32,N/A,N/A,N/A,N/A,N/A,13.78 - 16.59,"
</"
SBX,Finance,Property-Casualty Insurers,22.91,8.87,0.484,1.35,0.66,0.85,26.10M,21.44M,237.50M,7.75 - 11.26,"
</"
SBY,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
SCCO,Basic Industries,Precious Metals,17.07,0.88,2.307,9.41,5.06,4.98,3.82B,845.56M,33.69B,27.72 - 42.03,"
</"
SCD,Finance,Closed-End Fund - Debt,N/A,N/A,N/A,7.37,N/A,N/A,N/A,N/A,N/A,12.14 - 15.21,"
</"
SCE-F,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
SCG,Public Utilities,Power Generation,15.05,2.63,3.111,4.23,1.5,1.51,1.27B,131.80M,6.22B,43.32 - 50.34,"
</"
SCH-B,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
SCHW,Finance,Investment Bankers/Brokers/Service,23.96,1.68,0.69,1.45,2.45,4.38,N/A,1.28B,21.36B,11.64 - 16.66,"
</"
SCI,Consumer Services,Other Consumer Services,19.44,1.95,0.768,1.54,2.32,1.34,585.40M,212.69M,3.18B,10.58 - 15.08,"
</"
SCL,Basic Industries,Package Goods/Cosmetics,17.24,1.59,3.402,0.99,2.69,0.67,175.50M,20.78M,1.23B,50.67 - 102.59,"
</"
SCL.P,Basic Industries,Package Goods/Cosmetics,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,53.90 - 92.30,"
</"
SCM,Technology,Telecom Services - Foreign,N/A,N/A,N/A,1.19,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
SCR,Consumer Durables,Major Pharmaceuticals,23.03,N/A,0.346,N/A,1.3,1.3,34.50M,53.26M,418.10M,7.25 - 10.36,"
</"
SCS,Consumer Durables,Office Equipment/Supplies/Services,21.46,1.59,0.635,2.64,2.41,0.6,199.50M,125.18M,1.71B,7.63 - 13.91,"
</"
SCU,Public Utilities,Power Generation,N/A,N/A,N/A,7.08,N/A,N/A,N/A,N/A,N/A,26.45 - 29.60,"
</"
SCX,Capital Goods,Industrial Machinery/Components,N/A,N/A,N/A,3.7,0.57,0.29,5.90M,6.80M,72.30M,9.37 - 14.29,"
</"
SD,Energy,Oil & Gas Production,786.67,6.32,0.009,N/A,1.27,1.91,776.80M,475.98M,3.15B,4.81 - 8.98,"
</"
SDLP,,,8.19,N/A,3.533,1.01,3.79,2.33,322.30M,41.36M,1.19B,0.00 - 0.00,"
</"
SDR,,,15.88,N/A,1.191,7.21,2.1,15.16,N/A,49.72M,804.50M,0.00 - 0.00,"
</"
SDRL,,,18.73,0.66,2.119,10.86,3.04,4.42,2.39B,469.12M,18.58B,31.37 - 42.34,"
</"
SDT,Energy,Oil & Gas Production,6.24,0.66,3.123,15.33,2.03,6.46,N/A,28.00M,530.30M,14.68 - 36.97,"
</"
SE,Public Utilities,Oil & Gas Production,17.97,5.51,1.546,4.12,2.11,3.52,2.40B,653.03M,18.45B,26.55 - 32.27,"
</"
SEE,Consumer Durables,Containers/Packaging,N/A,2.35,N/A,2.78,2.14,0.47,948.50M,194.50M,3.71B,11.51 - 21.50,"
</"
SEH,Basic Industries,Containers/Packaging,113.45,0.48,0.084,N/A,1.63,0.26,56.10M,30.80M,302.80M,3.40 - 10.06,"
</"
SEM,Health Care,Hospital/Nursing Management,9.55,0.82,1.02,15.4,1.53,0.47,395.80M,140.56M,1.36B,6.94 - 14.89,"
</"
SEM.W,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6.02 - 18.05,"
</"
SEMG,Energy,Oilfield Services/Equipment,1392.26,N/A,0.031,N/A,2.08,1.43,67.40M,41.91M,1.87B,26.31 - 43.34,"
</"
SEP,Public Utilities,Natural Gas Distribution,20.58,11.63,1.671,4.23,2.02,14.06,159.00M,96.36M,3.34B,27.15 - 34.70,"
</"
