Name,Sector,Industry,P/E ratio,PEG ratio,EPS,DivYield,PtB,PtS,EBITDA,Shares,Market Cap,52wk range
SONC,Consumer Services,Restaurants,17.94,1.14,0.622,N/A,12.89,1.15,132.20M,55.63M,628.60M,6.84 - 11.60,"
</"
SONS,Technology,EDP Services,N/A,N/A,N/A,N/A,1.63,2.52,N/A,280.75M,640.10M,1.36 - 3.11,"
</"
SORL,Capital Goods,Auto Parts:O.E.M.,5.05,0.94,0.62,N/A,0.37,0.3,24.70M,19.29M,59.80M,1.71 - 3.64,"
</"
SOXX,,,N/A,N/A,N/A,1.15,N/A,N/A,N/A,N/A,N/A,47.02 - 60.33,"
</"
SPAN,Health Care,Industrial Specialties,10.74,N/A,1.77,7.81,1.84,0.73,8.70M,2.92M,52.10M,14.97 - 19.93,"
</"
SPAR,Capital Goods,Auto Manufacturing,315,2.38,0.018,1.76,1.05,0.42,19.40M,33.82M,192.80M,4.01 - 6.67,"
</"
SPBC,Finance,Savings Institutions,20.82,N/A,0.769,N/A,0.75,1.89,N/A,1.54M,25.80M,10.09 - 16.84,"
</"
SPCHA,Consumer Services,Other Specialty Stores,N/A,N/A,N/A,N/A,1.26,0.07,6.50M,14.19M,26.10M,1.05 - 1.87,"
</"
SPCHB,Consumer Services,Other Specialty Stores,N/A,1.57,N/A,N/A,1.4,0.08,6.50M,14.22M,26.30M,1.50 - 2.25,"
</"
SPEX,Consumer Services,Diversified Commercial Services,N/A,N/A,N/A,N/A,0.4,5.67,N/A,691.93K,4.20M,5.85 - 29.60,"
</"
SPIL,Technology,Semiconductors,17.69,0.78,0.29,4.64,1.57,1.44,531.30M,615.63M,3.23B,4.53 - 6.19,"
</"
SPIR,Technology,Semiconductors,5.78,N/A,0.098,N/A,0.58,0.12,N/A,8.55M,4.70M,0.33 - 1.70,"
</"
SPLK,,,N/A,N/A,N/A,N/A,14.24,18.37,N/A,98.61M,3.34B,0.00 - 0.00,"
</"
SPLS,Consumer Services,Other Specialty Stores,N/A,1.93,N/A,3.26,1.47,0.37,1.99B,673.87M,9.10B,10.57 - 16.93,"
</"
SPMD,Consumer Services,Publishing,0.18,N/A,20.393,N/A,N/A,0.04,564.00M,15.66M,58.40M,1.51 - 4.52,"
</"
SPNC,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,333.2,20.67,0.05,N/A,6.72,4.24,13.10M,34.63M,584.60M,7.52 - 17.01,"
</"
SPNS,Technology,Computer Software: Prepackaged Software,22.42,N/A,0.223,3,1.7,1.88,15.40M,40.30M,201.10M,3.03 - 5.62,"
</"
SPPI,Consumer Durables,Major Pharmaceuticals,8.51,N/A,1.481,1.19,2.68,3,87.00M,59.54M,744.30M,9.31 - 17.48,"
</"
SPPR,Consumer Services,Real Estate Investment Trusts,N/A,1.3,N/A,N/A,0.63,0.35,15.50M,23.11M,27.50M,0.73 - 1.35,"
</"
SPPRO,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,9.71,N/A,N/A,N/A,N/A,N/A,23.00 - 26.00,"
</"
SPPRP,Consumer Services,Real Estate Investment Trusts,N/A,N/A,N/A,8.08,N/A,N/A,N/A,N/A,N/A,7.85 - 10.18,"
</"
SPRD,Technology,Semiconductors,7.8,0.66,1.988,2.58,2.05,1.02,135.90M,46.87M,758.90M,12.63 - 23.20,"
</"
SPRO,Consumer Services,Other Consumer Services,N/A,N/A,N/A,3.71,0.61,0.41,200.00K,4.72M,7.60M,1.18 - 2.60,"
</"
SPRT,Technology,EDP Services,N/A,N/A,N/A,N/A,2.98,3.02,N/A,49.35M,214.20M,2.27 - 4.95,"
</"
SPSC,Technology,Computer Software: Prepackaged Software,36.71,4.37,1.06,N/A,4.3,8.11,6.00M,14.68M,575.40M,23.09 - 41.32,"
</"
SPTN,Consumer Non-Durables,Food Distributors,11.49,1.17,1.413,1.88,1.08,0.13,101.20M,21.75M,356.30M,13.44 - 19.24,"
</"
SPU,Consumer Non-Durables,Packaged Foods,4.59,N/A,0.523,N/A,0.43,0.7,23.10M,26.67M,64.00M,1.31 - 2.90,"
</"
SPWR,Technology,Scientific & Technical Instruments,N/A,1.75,N/A,N/A,0.83,0.4,22.70M,119.04M,932.10M,3.71 - 9.54,"
</"
SQI,Technology,Computer Software: Prepackaged Software,156.04,3.5,0.106,N/A,5.61,6.05,5.70M,22.32M,370.00M,13.13 - 18.62,"
</"
SQNM,Capital Goods,Industrial Machinery/Components,N/A,N/A,N/A,N/A,6.3,6.66,N/A,114.78M,477.50M,2.65 - 5.83,"
</"
SQQQ,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,33.93 - 59.11,"
</"
SRCE,Finance,Major Banks,11.19,N/A,2.02,2.96,0.98,2.41,N/A,24.27M,556.30M,19.70 - 26.79,"
</"
SRCL,Basic Industries,Environmental Services,31.23,1.97,3.021,N/A,5.49,4.37,552.60M,85.89M,8.18B,81.16 - 96.20,"
</"
SRDX,Consumer Durables,Major Pharmaceuticals,41.14,1.98,0.586,N/A,3.77,6.81,19.30M,14.66M,353.80M,13.30 - 25.89,"
</"
SREV,Miscellaneous,Business Services,N/A,4.07,N/A,N/A,2.52,1.93,257.00K,75.55M,477.50M,4.01 - 18.00,"
</"
SRPT,,,N/A,N/A,N/A,N/A,N/A,15.8,N/A,25.45M,702.50M,0.00 - 0.00,"
</"
SSBI,Finance,Regional - Pacific Banks,13.29,N/A,0.617,4.39,0.79,2.37,N/A,4.74M,39.30M,5.56 - 8.72,"
</"
SSFN,Finance,Major Banks,N/A,N/A,N/A,2.67,0.57,1.33,N/A,5.92M,24.68M,3.40 - 6.30,"
</"
SSH,,,N/A,N/A,N/A,N/A,3.25,N/A,N/A,9.27M,58.70M,0.00 - 0.00,"
</"
SSNC,Technology,Computer Software: Prepackaged Software,43.52,1.15,0.52,N/A,1.69,3.75,179.60M,78.87M,1.82B,18.42 - 27.04,"
</"
SSRI,Basic Industries,Precious Metals,29.39,0.47,0.41,N/A,0.94,5.77,23.50M,80.74M,986.70M,10.06 - 18.34,"
</"
SSRX,Consumer Durables,Major Pharmaceuticals,17.52,0.86,0.759,N/A,1.37,2.85,27.40M,22.08M,302.70M,10.15 - 15.33,"
</"
SSYS,Technology,Computer peripheral equipment,92.44,2.21,0.849,N/A,8.4,9.12,41.80M,21.82M,1.76B,32.87 - 92.30,"
</"
STAA,Health Care,Ophthalmic Goods,N/A,22.64,N/A,N/A,6.3,3.25,5.00M,36.61M,203.90M,4.96 - 11.44,"
</"
STAN,Consumer Services,Rental/Leasing Companies,26.91,1.37,0.779,N/A,5.47,1.33,46.00M,21.83M,465.40M,17.13 - 24.67,"
</"
STB,,,147.5,N/A,0.044,3.59,2.59,1.31,53.90M,76.68M,498.40M,5.70 - 7.50,"
</"
STBA,Finance,Major Banks,15.59,2.52,1.183,3.25,1.03,3.37,N/A,29.73M,555.70M,15.68 - 23.34,"
</"
STBZ,Finance,Major Banks,18.14,1.58,0.88,0.38,1.19,4.18,N/A,31.91M,515.30M,14.01 - 18.16,"
</"
STEC,Technology,Electronic Components,N/A,N/A,N/A,N/A,0.97,1.24,N/A,46.73M,234.10M,3.95 - 10.87,"
</"
STEI,Consumer Services,Other Consumer Services,20.02,1.62,0.412,1.94,1.65,1.36,108.80M,84.78M,708.80M,4.92 - 8.65,"
</"
STEL,Finance,Major Banks,15.57,2.44,0.96,1.74,0.79,2.73,N/A,22.89M,351.10M,10.83 - 15.00,"
</"
STEM,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),N/A,N/A,N/A,N/A,6.33,36.7,N/A,37.41M,63.60M,0.59 - 2.67,"
</"
STFC,Finance,Property-Casualty Insurers,5.95,N/A,2.556,3.61,0.83,0.49,56.60M,40.45M,632.60M,12.21 - 16.91,"
</"
STKL,Consumer Services,Farming/Seeds/Milling,39.13,0.38,0.183,N/A,1.48,0.42,64.30M,65.98M,481.00M,4.86 - 7.18,"
</"
STLD,Basic Industries,Steel/Iron Ore,20.84,1.14,0.73,2.63,1.39,0.46,624.60M,219.35M,3.38B,10.11 - 16.66,"
</"
STLY,Consumer Durables,Home Furnishings,1.95,N/A,2.385,N/A,0.74,0.68,N/A,14.55M,67.80M,3.10 - 5.21,"
</"
STML,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
STMP,Consumer Services,Catalog/Specialty Distribution,10.71,0.8,2.519,N/A,3.75,3.73,23.30M,15.61M,420.90M,18.62 - 33.29,"
</"
STND,Finance,Major Banks,19.91,N/A,0.91,0.99,0.72,4.05,N/A,3.14M,56.90M,14.11 - 18.82,"
</"
STNR,Consumer Services,Other Consumer Services,12.76,1.32,3.53,N/A,1.95,0.84,85.10M,14.70M,667.20M,40.01 - 53.49,"
</"
STRA,Consumer Services,Other Consumer Services,8.62,1.01,6.6,7.03,10.01,1.13,153.80M,11.44M,655.00M,42.98 - 120.00,"
</"
STRL,Basic Industries,Military/Government/Technical,N/A,11.53,N/A,N/A,0.81,0.29,25.40M,16.50M,168.10M,7.12 - 11.16,"
</"
STRM,Technology,EDP Services,28.73,N/A,0.189,N/A,4.16,3.19,2.70M,12.64M,71.80M,1.61 - 6.60,"
</"
STRN,Capital Goods,Industrial Machinery/Components,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.56 - 6.89,"
</"
STRS,Consumer Services,Homebuilding,N/A,N/A,N/A,N/A,0.69,0.73,6.20M,8.09M,86.60M,6.75 - 11.20,"
</"
STRT,Capital Goods,Auto Parts:O.E.M.,8.23,2.38,3.269,1.49,1.04,0.31,25.20M,3.32M,90.30M,19.40 - 29.96,"
</"
STRZA,,,1.1,N/A,14.448,N/A,0.3,0.77,660.00M,120.24M,1.94B,0.00 - 0.00,"
</"
STRZB,,,1.11,N/A,14.448,N/A,0.3,0.77,660.00M,120.21M,1.94B,0.00 - 0.00,"
</"
STSA,Finance,Banks,3.52,2.99,6.14,3.71,1.1,2.99,N/A,62.17M,1.35B,17.19 - 23.22,"
</"
STSI,Consumer Services,Cigarettes,N/A,N/A,N/A,N/A,23.08,56.77,N/A,146.28M,314.50M,0.71 - 5.89,"
</"
STX,Technology,Electronic Components,4.41,N/A,7.704,4.47,4.29,0.77,4.34B,368.99M,12.42B,21.62 - 37.94,"
</"
STXS,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,N/A,N/A,N/A,N/A,N/A,0.36,N/A,7.69M,17.30M,1.01 - 9.30,"
</"
SUBK,Finance,Major Banks,N/A,N/A,N/A,N/A,1.03,2.77,N/A,11.56M,163.50M,11.03 - 16.90,"
</"
SUMR,Consumer Durables,Miscellaneous manufacturing industries,N/A,2.85,N/A,N/A,1.01,0.13,12.40M,17.85M,31.60M,1.21 - 6.34,"
</"
SUNS,,,10.22,0.23,1.824,7.02,1,9.49,N/A,9.50M,179.50M,15.57 - 19.59,"
</"
SUPN,,,1.82,N/A,4.223,N/A,7.62,539.66,N/A,30.46M,236.40M,0.00 - 0.00,"
</"
SUPX,Technology,Semiconductors,57.76,8.42,0.331,5.23,1.29,3.52,3.40M,11.56M,229.10M,15.72 - 21.38,"
</"
SURG,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,21.67,0.86,0.24,N/A,2.21,2.1,10.60M,24.67M,129.50M,3.30 - 7.03,"
</"
SUSQ,Finance,Major Banks,14.83,1.53,0.77,2.19,0.82,3.07,N/A,186.59M,2.16B,8.73 - 11.69,"
</"
SUTR,Capital Goods,Steel/Iron Ore,4.57,0.29,0.221,N/A,0.19,0.08,30.80M,40.19M,41.80M,0.65 - 1.31,"
</"
SVA,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,1.42,3.4,N/A,55.02M,177.70M,1.64 - 3.88,"
</"
SVBI,Finance,Major Banks,27.5,N/A,0.16,N/A,0.41,1.49,N/A,10.07M,41.80M,2.01 - 4.71,"
</"
SVNT,Consumer Durables,Specialty Chemicals,N/A,N/A,N/A,N/A,N/A,4.32,N/A,71.05M,74.60M,0.48 - 2.95,"
</"
SVVC,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.40 - 46.50,"
</"
SWHC,Capital Goods,Ordnance And Accessories,10.37,0.28,0.829,N/A,3.59,1.14,110.60M,66.26M,580.40M,4.93 - 11.25,"
</"
SWIR,Technology,Radio And Television Broadcasting And Communications Equipment,N/A,0.65,N/A,N/A,1.23,0.54,40.00M,29.87M,342.60M,6.70 - 11.60,"
</"
SWKS,Technology,Semiconductors,22.8,0.72,1.05,N/A,2.42,2.97,371.60M,194.33M,4.73B,19.21 - 31.44,"
</"
SWSH,Finance,Diversified Commercial Services,N/A,N/A,N/A,N/A,0.74,1.59,31.00K,173.97M,262.70M,1.10 - 3.80,"
</"
SYBT,Finance,Major Banks,12.22,1.21,1.85,3.41,1.56,3.12,N/A,13.91M,314.60M,20.86 - 25.29,"
</"
SYBTP,Finance,Major Banks,N/A,N/A,N/A,9.31,N/A,N/A,N/A,N/A,N/A,10.51 - 11.85,"
</"
SYKE,Technology,EDP Services,34.48,1.3,0.467,N/A,1.17,0.63,104.40M,43.01M,689.50M,12.81 - 18.34,"
</"
SYMC,Technology,Computer Software: Prepackaged Software,13.77,1.54,1.581,N/A,2.93,2.21,1.84B,692.99M,15.33B,13.06 - 22.26,"
</"
SYMM,Public Utilities,Telecommunications Equipment,52.84,3.63,0.102,N/A,1.17,0.95,13.30M,40.36M,215.50M,5.10 - 7.08,"
</"
SYMX,Basic Industries,Major Chemicals,N/A,N/A,N/A,N/A,0.76,100.5,N/A,57.72M,65.80M,0.75 - 1.88,"
</"
SYNA,Technology,EDP Services,29.33,1.13,1.196,N/A,2.79,2.08,64.70M,32.00M,1.12B,22.58 - 39.89,"
</"
SYNC,,,26.32,1.73,0.22,N/A,3.18,1.32,9.00M,27.12M,160.80M,4.44 - 18.00,"
</"
SYNL,Basic Industries,Steel/Iron Ore,21.31,1.37,0.67,1.75,1.26,0.49,9.50M,6.35M,90.60M,10.39 - 14.97,"
</"
SYNM,Energy,Oil & Gas Production,60,N/A,0.008,N/A,1.06,2.71,9.40M,98.34M,47.20M,0.33 - 1.54,"
</"
SYNT,Technology,EDP Services,13.56,0.78,4.3,4.27,3.85,3.45,235.00M,41.93M,2.45B,44.61 - 65.19,"
</"
SYPR,Capital Goods,Industrial Machinery/Components,16.69,0.77,0.248,1.93,1.23,0.22,22.70M,19.08M,80.70M,3.45 - 7.65,"
</"
SYUT,Consumer Non-Durables,Packaged Foods,N/A,N/A,N/A,N/A,6.58,0.8,26.50M,57.29M,262.40M,3.80 - 7.00,"
</"
SZYM,,,N/A,N/A,N/A,N/A,2.34,9.45,N/A,60.88M,482.80M,6.45 - 16.31,"
</"
TACT,Technology,Computer peripheral equipment,32.29,1.13,0.249,0.75,2.19,1.13,7.20M,8.75M,70.90M,6.46 - 9.15,"
</"
TAIT,Consumer Non-Durables,Electronic Components,N/A,N/A,N/A,N/A,0.32,0.85,N/A,5.49M,5.60M,0.90 - 1.12,"
</"
TASR,Capital Goods,Ordnance And Accessories,96.21,1.18,0.087,N/A,5.74,4.14,16.20M,51.41M,432.40M,3.96 - 9.80,"
</"
TAST,Consumer Services,Restaurants,N/A,N/A,N/A,177.03,1.43,0.15,73.00M,22.75M,145.60M,4.15 - 15.89,"
</"
TATT,Capital Goods,Aerospace,N/A,N/A,N/A,4.44,0.69,0.64,14.20M,8.80M,57.90M,3.63 - 6.52,"
</"
TAX,,,16.38,0.52,0.991,N/A,2.56,2.08,32.20M,13.99M,226.00M,0.00 - 0.00,"
</"
TAXI,Finance,Finance: Consumer Services,10.42,1.1,1.228,6.49,1.27,7.95,22.00M,21.29M,274.70M,9.85 - 12.82,"
</"
TAYC,Finance,Major Banks,9.69,2.27,1.79,N/A,1.39,1.67,N/A,28.52M,500.20M,12.55 - 19.35,"
</"
TAYCO,,,14,N/A,1.79,1.88,2.01,2.42,N/A,28.51M,725.10M,0.00 - 0.00,"
</"
TAYCP,Finance,Major Banks,N/A,N/A,N/A,9.54,N/A,N/A,N/A,N/A,N/A,24.35 - 27.05,"
</"
TAYD,Capital Goods,Industrial Machinery/Components,11.51,N/A,0.829,N/A,1.55,1,4.30M,3.31M,32.10M,7.24 - 12.18,"
</"
TBAC,Consumer Non-Durables,Apparel,N/A,N/A,N/A,N/A,0.43,0.09,N/A,7.13M,11.20M,1.00 - 2.14,"
</"
TBBK,Finance,Major Banks,23.56,1.27,0.5,N/A,1.3,3.89,N/A,37.15M,453.20M,7.95 - 12.73,"
</"
TBNK,Finance,Savings Institutions,16.23,3.99,1.412,1.92,1.06,4.03,N/A,10.11M,237.10M,20.02 - 24.35,"
</"
TBOW,Technology,Computer Software: Prepackaged Software,3.81,N/A,0.339,N/A,0.53,1.53,14.50M,36.82M,47.50M,0.77 - 2.39,"
</"
TCBI,Finance,Major Banks,13.75,1.17,3.01,N/A,2.02,4.13,N/A,40.74M,1.69B,32.09 - 52.17,"
</"
TCBIL,,,8.38,N/A,3.01,N/A,1.23,2.51,N/A,40.71M,1.03B,0.00 - 0.00,"
</"
TCBIW,Finance,Major Banks,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15.19 - 35.50,"
</"
TCBK,Finance,Major Banks,12.68,1.37,1.3,2.18,1.16,2.07,N/A,15.99M,269.10M,14.68 - 17.80,"
</"
TCCO,Technology,Radio And Television Broadcasting And Communications Equipment,N/A,N/A,N/A,7.86,0.77,1.15,N/A,1.84M,9.20M,4.22 - 12.95,"
</"
TCPC,,,N/A,N/A,N/A,7.35,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
TCRD,,,12.16,0.4,1.226,8.99,1.13,8.23,N/A,26.32M,390.80M,12.20 - 15.23,"
</"
TDIV,,,N/A,N/A,N/A,0.98,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
TEAR,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,8.75,55.97,N/A,28.46M,168.20M,1.65 - 5.83,"
</"
TECD,Technology,Retail: Computer Software & Peripheral Equipment,10.95,1.69,4.648,N/A,1.05,0.08,376.50M,37.76M,1.95B,42.25 - 59.29,"
</"
TECH,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),23.93,2.17,2.996,1.59,3.88,8.46,179.40M,36.83M,2.63B,63.08 - 76.02,"
</"
TECUA,Capital Goods,Industrial Machinery/Components,N/A,N/A,N/A,N/A,0.48,0.16,N/A,18.48M,134.20M,3.00 - 7.99,"
</"
TECUB,Capital Goods,Industrial Machinery/Components,N/A,N/A,N/A,N/A,0.49,0.16,N/A,18.48M,133.80M,3.23 - 8.40,"
</"
TELK,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,0.95,N/A,N/A,2.67M,4.60M,1.09 - 7.34,"
</"
TESO,Energy,Metal Fabrications,9.91,1.46,1.22,N/A,1.03,0.81,106.60M,38.74M,471.50M,8.70 - 16.88,"
</"
TESS,Consumer Non-Durables,Electronic Components,10.01,0.72,2.232,3.22,1.79,0.23,33.50M,8.06M,178.30M,17.08 - 26.53,"
</"
TFCO,Consumer Durables,Containers/Packaging,N/A,N/A,N/A,N/A,0.61,0.2,3.00M,4.32M,21.80M,2.95 - 5.10,"
</"
TFM,Consumer Services,Food Chains,38.2,1.55,1.28,N/A,13.44,1.84,144.50M,48.17M,2.34B,42.47 - 65.69,"
</"
TFSL,Finance,Savings Institutions,269.21,N/A,0.038,N/A,1.71,16.7,N/A,301.55M,3.11B,8.10 - 10.32,"
</"
TGA,Energy,Oil & Gas Production,7.72,0.54,1.109,N/A,1.58,2.21,213.00M,73.75M,642.40M,7.80 - 14.46,"
</"
TGE,Energy,Oil & Gas Production,12.75,0.31,0.714,1.65,2.42,1.05,49.80M,20.65M,186.50M,5.26 - 11.85,"
</"
THER,,,N/A,N/A,N/A,N/A,1.14,2.18,N/A,60.94M,32.30M,0.24 - 2.85,"
</"
THFF,Finance,Major Banks,11.6,N/A,2.601,3.15,1.08,2.97,N/A,13.24M,402.80M,27.07 - 37.30,"
</"
THLD,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,N/A,66.5,N/A,56.26M,257.10M,2.18 - 9.28,"
</"
THOR,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,25.53,1.68,1.431,N/A,3.19,4.54,149.80M,58.74M,2.17B,29.39 - 39.86,"
</"
THRD,Finance,Savings Institutions,12.44,N/A,1.97,0.82,0.81,2.57,N/A,2.73M,66.90M,22.06 - 26.50,"
</"
THRM,Consumer Durables,Medical Appliances & Equipment,27.58,1.24,0.525,N/A,2.67,0.8,66.60M,29.70M,443.10M,1.08 - 4.88,"
</"
THRX,Consumer Durables,Major Pharmaceuticals,N/A,0.48,N/A,N/A,12.56,16.09,N/A,97.85M,2.23B,15.69 - 31.87,"
</"
THTI,Capital Goods,Metal Fabrications,6.54,N/A,0.211,N/A,0.48,0.52,7.70M,20.48M,29.70M,0.67 - 3.68,"
</"
TIBX,Technology,Computer Software: Prepackaged Software,32.56,1.29,0.72,N/A,4.14,3.66,214.30M,160.10M,3.84B,18.95 - 34.67,"
</"
TICC,Finance,Diversified Investments,6.29,1.82,1.698,10.49,1.08,7.28,N/A,41.31M,443.70M,8.50 - 11.09,"
</"
TIGR,Technology,Computer Software: Prepackaged Software,N/A,N/A,N/A,N/A,1.81,4.34,N/A,28.21M,59.80M,1.27 - 2.79,"
</"
TILE,,,441.58,1.47,0.038,0.54,3.92,1.07,111.10M,65.94M,1.11B,0.00 - 0.00,"
</"
TINY,Finance,Finance/Investors Services,12.63,12.4,0.3,N/A,0.79,166.82,N/A,31.01M,120.00M,2.98 - 4.63,"
</"
TISA,Technology,Computer peripheral equipment,13.93,N/A,0.244,N/A,2.94,1.26,3.30M,11.56M,39.30M,2.50 - 5.59,"
</"
TITN,Consumer Services,Other Specialty Stores,13.62,0.68,2.123,N/A,1.58,0.3,115.00M,20.81M,609.00M,19.07 - 36.92,"
</"
TIVO,Consumer Services,Television Services,89.53,N/A,0.149,N/A,4.92,5.87,N/A,123.84M,1.66B,7.75 - 13.49,"
</"
TKMR,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.77 - 6.78,"
</"
TLAB,Public Utilities,Telecommunications Equipment,N/A,45.6,N/A,47.37,0.56,0.74,26.00M,367.51M,775.44M,2.16 - 4.22,"
</"
TLF,Consumer Non-Durables,Apparel,11.54,0.61,0.5,4.33,1.66,0.83,10.50M,10.15M,59.90M,4.76 - 6.12,"
</"
TMNG,Consumer Services,Professional Services,N/A,N/A,N/A,N/A,0.76,0.38,N/A,7.13M,20.40M,1.91 - 2.88,"
</"
TNAV,Capital Goods,Industrial Machinery/Components,12.7,5.13,0.622,N/A,1.49,1.55,42.10M,41.62M,334.20M,5.05 - 8.43,"
</"
TNGO,,,262.73,0.54,0.055,N/A,3.69,3.92,10.70M,37.87M,568.50M,11.53 - 23.05,"
</"
TOFC,Finance,Major Banks,10.17,N/A,1.18,0.92,0.89,2.01,N/A,4.74M,57.30M,9.46 - 14.25,"
</"
TOPS,Transportation,Marine Transportation,N/A,N/A,N/A,N/A,0.24,0.52,23.60M,17.00M,17.00M,0.88 - 5.20,"
</"
TORM,Basic Industries,Major Chemicals,7.01,N/A,1.781,N/A,0.92,0.66,10.10M,2.97M,38.90M,10.47 - 19.13,"
</"
TOWN,Finance,Regional - Mid-Atlantic Banks,15.26,N/A,0.994,2.16,1.15,2.28,N/A,31.37M,484.40M,12.01 - 16.16,"
</"
TPGI,Finance,Real Estate,N/A,N/A,N/A,1.26,1.25,2.38,35.40M,46.11M,246.70M,3.42 - 6.15,"
</"
TQNT,Technology,Semiconductors,N/A,N/A,N/A,N/A,0.93,1.06,70.50M,166.30M,913.00M,4.30 - 7.26,"
</"
TQQQ,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.19 - 66.05,"
</"
TRAK,Technology,EDP Services,26.21,2.13,1.205,N/A,2.39,3.56,53.60M,42.71M,1.37B,23.31 - 32.53,"
</"
TREE,Finance,Finance: Consumer Services,4.32,N/A,4.049,5.72,2.15,3.1,N/A,11.37M,199.50M,5.96 - 18.45,"
</"
TRGT,Consumer Durables,Major Pharmaceuticals,N/A,0.48,N/A,N/A,0.79,1.98,4.00M,33.61M,151.90M,3.85 - 7.70,"
</"
TRIB,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,21.28,1.77,0.758,0.93,2.1,4.25,19.10M,21.51M,350.00M,8.81 - 16.15,"
</"
TRIO,,,N/A,N/A,N/A,N/A,4.72,N/A,N/A,2.22M,22.10M,0.00 - 0.00,"
</"
TRIP,,,35.63,1.92,1.299,N/A,9.57,9.01,308.00M,142.33M,6.59B,26.93 - 47.81,"
</"
TRIT,Consumer Services,Military/Government/Technical,4.02,2.47,0.584,N/A,0.25,0.23,5.90M,8.21M,19.30M,1.52 - 9.95,"
</"
TRLG,Consumer Non-Durables,Apparel,12.69,0.86,1.869,4.22,1.83,1.33,90.50M,25.32M,600.80M,20.22 - 37.82,"
</"
TRMB,Capital Goods,Industrial Machinery/Components,42.46,1.31,1.472,N/A,4.36,4.02,364.00M,126.18M,7.88B,40.02 - 64.04,"
</"
TRMD,Consumer Services,Marine Transportation,N/A,N/A,N/A,N/A,0.52,0.15,N/A,72.12M,183.90M,0.26 - 4.10,"
</"
TRMK,Finance,Major Banks,12.78,2.07,1.81,3.98,1.16,2.91,N/A,64.83M,1.52B,20.76 - 26.35,"
</"
TRNS,Capital Goods,Electrical Products,16.96,N/A,0.411,N/A,1.75,0.46,7.80M,7.42M,51.70M,4.97 - 13.99,"
</"
TRNX,Health Care,Industrial Specialties,N/A,N/A,N/A,N/A,1.73,2.69,23.00M,41.72M,726.80M,14.53 - 25.91,"
</"
TROV,,,N/A,N/A,N/A,N/A,19.66,304.9,N/A,14.17M,100.50M,0.00 - 0.00,"
</"
TROVU,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
TROVW,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00 - 0.00,"
</"
TROW,Finance,Investment Bankers/Brokers/Service,22.31,1.35,3.201,1.9,4.72,6.25,1.38B,254.87M,18.63B,54.47 - 72.65,"
</"
TRS,Capital Goods,Industrial Specialties,18.62,0.55,1.659,N/A,3.85,0.99,191.30M,39.30M,1.24B,18.26 - 31.25,"
</"
TRST,Finance,Major Banks,13.22,N/A,0.4,4.99,1.38,3.45,N/A,93.93M,495.93M,5.01 - 6.00,"
</"
TSBK,Finance,Banks,14.17,0.88,0.58,N/A,0.74,1.71,N/A,6.82M,57.20M,4.02 - 8.40,"
</"
TSCO,Consumer Services,RETAIL: Building Materials,28.38,1.33,3.653,0.69,6.94,1.58,514.10M,70.44M,7.32B,75.46 - 104.83,"
</"
TSEM,Technology,Semiconductors,N/A,N/A,N/A,N/A,0.73,0.27,187.20M,21.54M,182.90M,6.75 - 15.30,"
</"
TSLA,Capital Goods,Auto Manufacturing,N/A,N/A,N/A,N/A,N/A,29.17,N/A,113.79M,4.36B,25.52 - 39.95,"
</"
TSON,Health Care,Medical/Dental Instruments,N/A,N/A,N/A,N/A,2.08,4.71,N/A,27.30M,67.70M,2.15 - 4.67,"
</"
TSPT,Consumer Durables,Major Pharmaceuticals,N/A,N/A,N/A,N/A,1.08,5.15,N/A,18.61M,108.50M,4.10 - 12.99,"
</"
TSRA,Technology,Semiconductors,N/A,N/A,N/A,1.14,1.37,3.86,52.20M,52.24M,917.80M,12.77 - 20.52,"
</"
